"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 15 16:38:53 MSK 2021","Fri Oct 15 16:39:50 MSK 2021","56552","","Тестирование","","Тестирование","Продажа бонусной ставки Беспроигрышная ставка на учётке с пустым балансом из деталей события (Test Suite Name: saleWinWinBetOnAccountWithEmptyBalanceInEventDetails)","Продажа бонусной ставки Беспроигрышная ставка на учётке с пустым балансом из деталей события (Test Suite Name: saleWinWinBetOnAccountWithEmptyBalanceInEventDetails)",""
"passed","Fri Oct 15 16:23:18 MSK 2021","Fri Oct 15 16:24:27 MSK 2021","69932","","Тестирование","","Тестирование","Заключение пари по быстрой ставке в деталях события, просмотр этой ставки в истории (Test Suite Name: saleBetViaFastBetInEventDetails)","Заключение пари по быстрой ставке в деталях события, просмотр этой ставки в истории (Test Suite Name: saleBetViaFastBetInEventDetails)",""
"passed","Fri Oct 15 15:55:59 MSK 2021","Fri Oct 15 15:56:36 MSK 2021","37038","","Тестирование","","Тестирование","Оформление ставки с пустым балансом (Test Suite Name: standartBetWithEmptyBalance)","Оформление ставки с пустым балансом (Test Suite Name: standartBetWithEmptyBalance)",""
"passed","Fri Oct 15 16:33:33 MSK 2021","Fri Oct 15 16:34:19 MSK 2021","46566","","Тестирование","","Тестирование","Удаление последней ставки из купона и проверка этого из деталей события (Test Suite Name: delLastBetFromCouponAndCheckItInEventDetails)","Удаление последней ставки из купона и проверка этого из деталей события (Test Suite Name: delLastBetFromCouponAndCheckItInEventDetails)",""
"passed","Fri Oct 15 16:28:12 MSK 2021","Fri Oct 15 16:29:27 MSK 2021","75007","","Тестирование","","Тестирование","Оформление ставки (Одинар) по бонусной ставке 'Фрибэт' из деталей события (Test Suite Name: odinarBetWithFreeBetInEventDetails)","Оформление ставки (Одинар) по бонусной ставке 'Фрибэт' из деталей события (Test Suite Name: odinarBetWithFreeBetInEventDetails)",""
"passed","Fri Oct 15 16:05:56 MSK 2021","Fri Oct 15 16:07:00 MSK 2021","63725","","Тестирование","","Тестирование","Оформление ставки (Одинар) по бонусной ставке 'Беспроигрышная ставка' (Test Suite Name: odinarBetWithWinWinBet)","Оформление ставки (Одинар) по бонусной ставке 'Беспроигрышная ставка' (Test Suite Name: odinarBetWithWinWinBet)",""
"passed","Fri Oct 15 15:53:03 MSK 2021","Fri Oct 15 15:53:52 MSK 2021","49766","","Тестирование","","Тестирование","Продажа бонусной ставки Беспроигрышная ставка на учётке с пустым балансом (Test Suite Name: saleWinWinBetOnAccountWithEmptyBalance)","Продажа бонусной ставки Беспроигрышная ставка на учётке с пустым балансом (Test Suite Name: saleWinWinBetOnAccountWithEmptyBalance)",""
"passed","Fri Oct 15 16:15:34 MSK 2021","Fri Oct 15 16:17:16 MSK 2021","101457","","Тестирование","","Тестирование","Удаление одной из трёх ставок из купона для системы, переключение на экспресс, заключение ставки и её продажи (Test Suite Name: delOneBetFromCouponWhenSystemBetSwitchToExpressBetAndSaleExpressBet)","Удаление одной из трёх ставок из купона для системы, переключение на экспресс, заключение ставки и её продажи (Test Suite Name: delOneBetFromCouponWhenSystemBetSwitchToExpressBetAndSaleExpressBet)",""
"passed","Fri Oct 15 16:14:44 MSK 2021","Fri Oct 15 16:15:34 MSK 2021","49866","","Тестирование","","Тестирование","Удаление одной из трёх ставок из купона для системы и проверка этого (Test Suite Name: delOneBetFromCouponWhenSystemBetAndCheckIt)","Удаление одной из трёх ставок из купона для системы и проверка этого (Test Suite Name: delOneBetFromCouponWhenSystemBetAndCheckIt)",""
"passed","Fri Oct 15 16:32:10 MSK 2021","Fri Oct 15 16:33:33 MSK 2021","83203","","Тестирование","","Тестирование","Оформление ставки (Экспресс) по бонусной ставке 'Беспроигрышная ставка' из деталей события (Test Suite Name: expressBetWithWinWinBetInEventDetails)","Оформление ставки (Экспресс) по бонусной ставке 'Беспроигрышная ставка' из деталей события (Test Suite Name: expressBetWithWinWinBetInEventDetails)",""
"passed","Fri Oct 15 16:30:57 MSK 2021","Fri Oct 15 16:32:10 MSK 2021","72967","","Тестирование","","Тестирование","Оформление ставки (Одинар) по бонусной ставке 'Беспроигрышная ставка' из деталей события (Test Suite Name: odinarBetWithWinWinBetInEventDetails)","Оформление ставки (Одинар) по бонусной ставке 'Беспроигрышная ставка' из деталей события (Test Suite Name: odinarBetWithWinWinBetInEventDetails)",""
"passed","Fri Oct 15 15:58:42 MSK 2021","Fri Oct 15 15:59:51 MSK 2021","68746","","Тестирование","","Тестирование","Оформление ставки (Одинар) (Test Suite Name: odinarBet)","Оформление ставки (Одинар) (Test Suite Name: odinarBet)",""
"passed","Fri Oct 15 16:08:53 MSK 2021","Fri Oct 15 16:10:37 MSK 2021","104401","","Тестирование","","Тестирование","Оформление ставки (Экспресс) по бонусной ставке 'Фрибэт' c ограничением (Test Suite Name: expressBetWithFreeBetWithLimitation)","Оформление ставки (Экспресс) по бонусной ставке 'Фрибэт' c ограничением (Test Suite Name: expressBetWithFreeBetWithLimitation)",""
"passed","Fri Oct 15 16:21:29 MSK 2021","Fri Oct 15 16:23:18 MSK 2021","108205","","Тестирование","","Тестирование","Продажа пари в деталях события (Test Suite Name: saleBetInEventDetails)","Продажа пари в деталях события (Test Suite Name: saleBetInEventDetails)",""
"passed","Fri Oct 15 16:41:24 MSK 2021","Fri Oct 15 16:42:19 MSK 2021","55356","","Тестирование","","Тестирование","Оформление ставки (Экспресс) по бонусной ставке 'Фрибэт' c ограничением из деталей события (Test Suite Name: expressBetWithFreeBetWithLimitationInEventDetails)","Оформление ставки (Экспресс) по бонусной ставке 'Фрибэт' c ограничением из деталей события (Test Suite Name: expressBetWithFreeBetWithLimitationInEventDetails)",""
"passed","Fri Oct 15 16:42:19 MSK 2021","Fri Oct 15 16:43:10 MSK 2021","51069","","Тестирование","","Тестирование","Оформление ставки (Одинар) по бонусной ставке 'Беспроигрышная ставка' c ограничением из деталей события (Test Suite Name: odinarBetWithWinWinBetWithLimitationInEventDetails)","Оформление ставки (Одинар) по бонусной ставке 'Беспроигрышная ставка' c ограничением из деталей события (Test Suite Name: odinarBetWithWinWinBetWithLimitationInEventDetails)",""
"passed","Fri Oct 15 16:44:08 MSK 2021","Fri Oct 15 16:45:24 MSK 2021","76142","","Тестирование","","Тестирование","Навигация в приложении с авторизированным пользователем (Test Suite Name: navigationInApplicationWithAuthorizeUser)","Навигация в приложении с авторизированным пользователем (Test Suite Name: navigationInApplicationWithAuthorizeUser)",""
"passed","Fri Oct 15 15:50:36 MSK 2021","Fri Oct 15 15:52:02 MSK 2021","85952","","Тестирование","","Тестирование","Продажа пари (Test Suite Name: saleBet)","Продажа пари (Test Suite Name: saleBet)",""
"passed","Fri Oct 15 16:03:00 MSK 2021","Fri Oct 15 16:03:32 MSK 2021","32655","","Тестирование","","Тестирование","Продажа бонусной ставки - Беспроигрышная ставка - c ограничением (Test Suite Name: saleWinWinBetWithLimitation)","Продажа бонусной ставки - Беспроигрышная ставка - c ограничением (Test Suite Name: saleWinWinBetWithLimitation)",""
"passed","Fri Oct 15 16:45:24 MSK 2021","Fri Oct 15 16:46:20 MSK 2021","55354","","Тестирование","","Тестирование","Навигация в приложении с не авторизированным пользователем (Test Suite Name: navigationInApplicationWithNotAuthorizeUser)","Навигация в приложении с не авторизированным пользователем (Test Suite Name: navigationInApplicationWithNotAuthorizeUser)",""
"passed","Fri Oct 15 16:12:48 MSK 2021","Fri Oct 15 16:13:25 MSK 2021","37267","","Тестирование","","Тестирование","Добавление в купон без кнопки ""В купон"" (Test Suite Name: addInCouponWithoutClickInCouponButton)","Добавление в купон без кнопки ""В купон"" (Test Suite Name: addInCouponWithoutClickInCouponButton)",""
"passed","Fri Oct 15 16:12:00 MSK 2021","Fri Oct 15 16:12:48 MSK 2021","48171","","Тестирование","","Тестирование","Сравнение минимальной суммы и максимальной суммы из поля ввода и кнопки (Test Suite Name: сompareMinSumAndMaxSumFromEditAndButton)","Сравнение минимальной суммы и максимальной суммы из поля ввода и кнопки (Test Suite Name: сompareMinSumAndMaxSumFromEditAndButton)",""
"passed","Fri Oct 15 15:59:51 MSK 2021","Fri Oct 15 16:01:06 MSK 2021","75210","","Тестирование","","Тестирование","Оформление ставки (Экспресс) (Test Suite Name: expressBet)","Оформление ставки (Экспресс) (Test Suite Name: expressBet)",""
"passed","Fri Oct 15 16:11:14 MSK 2021","Fri Oct 15 16:12:00 MSK 2021","45632","","Тестирование","","Тестирование","Оформление ставки (Экспресс) по бонусной ставке 'Беспроигрышная ставка' c ограничением (Test Suite Name: expressBetWithWinWinBetWithLimitation)","Оформление ставки (Экспресс) по бонусной ставке 'Беспроигрышная ставка' c ограничением (Test Suite Name: expressBetWithWinWinBetWithLimitation)",""
